번호,지역,상호,주소,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
기준 : 일간(20260306~20260405),,,,,,,,,,
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260306,SK에너지,셀프,2217,1997,1875,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260307,SK에너지,셀프,2217,1997,1995,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260308,SK에너지,셀프,2217,1997,1995,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260309,SK에너지,셀프,2287,1997,1995,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260310,SK에너지,셀프,2287,1997,1995,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260311,SK에너지,셀프,2287,1997,1995,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260312,SK에너지,셀프,2287,1997,1995,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260313,SK에너지,셀프,2287,1997,1995,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260314,SK에너지,셀프,2287,1997,1995,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260315,SK에너지,셀프,2287,1997,1995,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260316,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260317,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260318,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260319,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260320,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260321,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260322,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260323,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260324,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260325,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260326,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260327,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260328,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260329,SK에너지,셀프,2287,1977,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260330,SK에너지,셀프,2337,2065,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260331,SK에너지,셀프,2337,2065,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260401,SK에너지,셀프,2337,2065,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260402,SK에너지,셀프,2337,2065,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260403,SK에너지,셀프,2337,2065,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260404,SK에너지,셀프,2337,2065,1975,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20260405,SK에너지,셀프,2337,2065,1975,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260306,SK에너지,셀프,2065,1895,1895,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260307,SK에너지,셀프,2065,1895,1895,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260308,SK에너지,셀프,2065,1895,1895,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260309,SK에너지,셀프,2065,1895,1895,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260310,SK에너지,셀프,2065,1895,1895,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260311,SK에너지,셀프,2065,1895,1895,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260312,SK에너지,셀프,2065,1915,1915,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260313,SK에너지,셀프,2065,1834,1823,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260314,SK에너지,셀프,2065,1834,1823,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260315,SK에너지,셀프,2065,1834,1823,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260316,SK에너지,셀프,2065,1834,1823,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260317,SK에너지,셀프,2065,1834,1823,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260318,SK에너지,셀프,2065,1834,1823,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260319,SK에너지,셀프,2065,1814,1813,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260320,SK에너지,셀프,2065,1814,1813,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260321,SK에너지,셀프,2065,1814,1813,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260322,SK에너지,셀프,2065,1814,1813,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260323,SK에너지,셀프,2065,1814,1813,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260324,SK에너지,셀프,2065,1814,1813,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260325,SK에너지,셀프,2065,1814,1813,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260326,SK에너지,셀프,2065,1814,1813,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260327,SK에너지,셀프,2065,1834,1834,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260328,SK에너지,셀프,2098,1864,1859,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260329,SK에너지,셀프,2098,1864,1859,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260330,SK에너지,셀프,2098,1864,1859,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260331,SK에너지,셀프,2098,1864,1859,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260401,SK에너지,셀프,2098,1864,1859,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260402,SK에너지,셀프,2128,1889,1879,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260403,SK에너지,셀프,2128,1889,1879,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260404,SK에너지,셀프,2128,1898,1897,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20260405,SK에너지,셀프,2128,1898,1897,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260306,S-OIL,일반,2055,1889,1926,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260307,S-OIL,일반,2130,1950,1999,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260308,S-OIL,일반,2130,1950,1999,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260309,S-OIL,일반,2130,1950,1999,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260310,S-OIL,일반,2130,1950,1999,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260311,S-OIL,일반,2130,1950,1930,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260312,S-OIL,일반,2130,1950,1930,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260313,S-OIL,일반,2130,1950,1930,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260314,S-OIL,일반,2130,1899,1889,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260315,S-OIL,일반,2130,1899,1889,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260316,S-OIL,일반,2130,1899,1889,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260317,S-OIL,일반,2130,1899,1889,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260318,S-OIL,일반,2130,1870,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260319,S-OIL,일반,2130,1870,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260320,S-OIL,일반,2130,1870,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260321,S-OIL,일반,2130,1870,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260322,S-OIL,일반,2130,1870,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260323,S-OIL,일반,2130,1870,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260324,S-OIL,일반,2130,1870,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260325,S-OIL,일반,2130,1870,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260326,S-OIL,일반,2130,1870,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260327,S-OIL,일반,2130,1870,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260328,S-OIL,일반,2130,1870,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260329,S-OIL,일반,2130,1870,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260330,S-OIL,일반,2130,1899,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260331,S-OIL,일반,2130,1933,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260401,S-OIL,일반,2130,1933,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260402,S-OIL,일반,2130,1933,1869,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260403,S-OIL,일반,2130,1998,1898,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260404,S-OIL,일반,2399,1998,1898,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20260405,S-OIL,일반,2399,1998,1898,0
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260306,GS칼텍스,일반,2478,2278,2270,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260307,GS칼텍스,일반,2478,2278,2270,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260308,GS칼텍스,일반,2478,2278,2270,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260309,GS칼텍스,일반,2478,2278,2270,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260310,GS칼텍스,일반,2567,2367,2454,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260311,GS칼텍스,일반,2567,2367,2454,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260312,GS칼텍스,일반,2567,2367,2454,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260313,GS칼텍스,일반,2567,2367,2454,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260314,GS칼텍스,일반,2567,2347,2174,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260315,GS칼텍스,일반,2567,2347,2174,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260316,GS칼텍스,일반,2567,2347,2174,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260317,GS칼텍스,일반,2494,2244,2154,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260318,GS칼텍스,일반,2494,2244,2154,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260319,GS칼텍스,일반,2494,2244,2154,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260320,GS칼텍스,일반,2494,2244,2154,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260321,GS칼텍스,일반,2494,2244,2154,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260322,GS칼텍스,일반,2494,2244,2154,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260323,GS칼텍스,일반,2494,2244,2154,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260324,GS칼텍스,일반,2494,2244,2154,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260325,GS칼텍스,일반,2494,2244,2154,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260326,GS칼텍스,일반,2494,2244,2154,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260327,GS칼텍스,일반,2494,2244,2154,1550
A0001217,서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20260328,GS칼텍스,일반,2494,2244,2154,1550
